title,author,rating,genres,pages,description,main genre 
The Hollows,Mark  Edwards,3.87,"['Horror', 'Thriller', 'Mystery', 'Fiction', 'Mystery', 'Thriller', 'Suspense', 'Audiobook']",335,"From the bestselling author of The House Guest comes a chilling story set deep in the woods…With his marriage over and his career in freefall, journalist Tom decides to reconnect with his fourteen-year-old daughter, Frankie. Desperate to spend precious time together now that they live an ocean apart, he brings her to Hollow Falls, a cabin resort deep in the woods of Maine.From the outset there’s something a little eerie about the place—strange whispers in the trees, windchimes echoing through the forest—but when Tom meets true-crime podcasters David and Connie, he receives a chilling warning. Hollow Falls has a gruesome history: twenty years ago this week, a double slaying shut down the resort. The crime was never solved, and now the woods are overrun with murder-obsessed tourists looking to mark the grim anniversary.It’s clear that there’s something deeply disturbing going on at Hollow Falls. And as Tom’s dream trip turns into a nightmare, he and Frankie are faced with a choice: uncover the truth, or get out while they still can.",horror
This Thing Between Us,Gus Moreno,3.76,"['Horror', 'Fiction', 'Thriller', 'Audiobook', 'Adult', 'Mystery', 'Paranormal']",272,"It was Vera's idea to buy the Itza. The ""world's most advanced smart speaker!"" didn't interest Thiago, but Vera thought it would be a bit of fun for them amidst all the strange occurrences happening in the condo. It made things worse. The cold spots and scratching in the walls were weird enough, but peculiar packages started showing up at the house—who ordered industrial lye? Then there was the eerie music at odd hours, Thiago waking up to Itza projecting light shows in an empty room.It was funny and strange right up until Vera was killed, and Thiago's world became unbearable. Pundits and politicians all looking to turn his wife's death into a symbol for their own agendas. A barrage of texts from her well-meaning friends about letting go and moving on. Waking to the sound of Itza talking softly to someone in the living room...The only thing left to do was get far away from Chicago. Away from everything and everyone. A secluded cabin in Colorado seemed like the perfect place to hole up with his crushing grief. But soon Thiago realizes there is no escape—not from his guilt, not from his simmering rage, and not from the evil hunting him, feeding on his grief, determined to make its way into this world.A bold, original horror novel about grief, loneliness and the oppressive intimacy of technology, This Thing Between Us marks the arrival of a spectacular new talent.",horror
When the Reckoning Comes,LaTanya McQueen,3.72,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Historical', 'Fiction', 'Adult', 'Audiobook']",237,"A haunting novel about a black woman who returns to her hometown for a plantation wedding and the horror that ensues as she reconnects with the blood-soaked history of the land and the best friends she left behind.More than a decade ago, Mira fled her small, segregated hometown in the south to forget. With every mile she traveled, she distanced herself from her past: from her best friend Celine, mocked by their town as the only white girl with black friends; from her old neighborhood; from the eerie Woodsman plantation rumored to be haunted by the spirits of slaves; from the terrifying memory of a ghost she saw that terrible day when a dare-gone-wrong almost got Jesse—the boy she secretly loved—arrested for murder.But now Mira is back in Kipsen to attend Celine’s wedding at the plantation, which has been transformed into a lush vacation resort. Mira hopes to reconnect with her friends, and especially, Jesse, to finally tell him the truth about her feelings and the events of that devastating long-ago day.But for all its fancy renovations, the Woodsman remains a monument to its oppressive racist history. The bar serves antebellum drinks, entertainments include horrifying reenactments, and the service staff is nearly all black. Yet the darkest elements of the plantation’s past have been carefully erased—rumors that slaves were tortured mercilessly and that ghosts roam the lands, seeking vengeance on the descendants of those who tormented them, which includes most of the wedding guests. As the weekend unfolds, Mira, Jesse, and Celine are forced to acknowledge their history together, and to save themselves from what is to come.",horror
The Whispering Dead,Darcy Coates,4.03,"['Horror', 'Paranormal', 'Mystery', 'Fiction', 'Ghosts', 'Fantasy', 'Supernatural']",272,"Homeless, hunted, and desperate to escape a bitter storm, Keira takes refuge in an abandoned groundskeeper's cottage. Her new home is tucked away at the edge of a cemetery, surrounded on all sides by gravestones: some recent, some hundreds of years old, all suffering from neglect.And in the darkness, she can hear the unquiet dead whispering.The cemetery is alive with faint, spectral shapes, led by a woman who died before her time... and Keira, the only person who can see her, has become her new target. Determined to help put the ghost to rest, Keira digs into the spirit's past life with the help of unlikely new friends, and discovers a history of deception, ill-fated love, and murder.But the past is not as simple as it seems, and Keira's time is running out. Tangled in a dangerous web, she has to find a way to free the spirit... even if it means offering her own life in return.",horror
Come with Me,Ronald Malfi,3.97,"['Horror', 'Thriller', 'Mystery', 'Fiction', 'Mystery', 'Thriller', 'Audiobook', 'Suspense']",407,"A masterful, heart-palpitating novel of small-town horror and psychological dread from a Bram Stoker nominee.Aaron Decker's life changes one December morning when his wife Allison is killed. Haunted by her absence--and her ghost--Aaron goes through her belongings, where he finds a receipt for a motel room in another part of the country. Piloted by grief and an increasing sense of curiosity, Aaron embarks on a journey to discover what Allison had been doing in the weeks prior to her death.Yet Aaron is unprepared to discover the dark secrets Allison kept, the death and horror that make up the tapestry of her hidden life. And with each dark secret revealed, Aaron becomes more and more consumed by his obsession to learn the terrifying truth about the woman who had been his wife, even if it puts his own life at risk.",horror
Where They Wait,Scott  Carson,3.6,"['Horror', 'Thriller', 'Fiction', 'Mystery', 'Adult', 'Audiobook', 'Suspense']",390,"Recently laid-off from his newspaper and desperate for work, war correspondent Nick Bishop takes a humbling job: writing a profile of a new mindfulness app called Clarity. It’s easy money, and a chance to return to his hometown for the first time in years. The app itself seems like a retread of old ideas—relaxing white noise and guided meditations.But then there are the “Sleep Songs.” A woman’s hauntingly beautiful voice sings a ballad that is anything but soothing—it’s disturbing, and more of a warning than a relaxation—but it works. Deep, refreshing sleep follows.So do the nightmares. Vivid and chilling, they feature a dead woman who calls Nick by name and whispers guidance—or are they threats? And her voice follows him long after the song is done. As the effects of the nightmares begin to permeate his waking life, Nick makes a terrifying discovery: no one involved with Clarity has any interest in his article. Their interest is in him.",horror
The Anthropocene Reviewed,John Green,4.37,"['Nonfiction', 'Essays', 'Audiobook', 'Memoir', 'History', 'Science', 'Adult']",293,"A deeply moving and mind-expanding collection of personal essays in the first ever work of non-fiction from #1 internationally bestselling author John GreenThe Anthropocene is the current geological age, in which human activity has profoundly shaped the planet and its biodiversity. In this remarkable symphony of essays adapted and expanded from his ground-breaking, critically acclaimed podcast, John Green reviews different facets of the human-centered planet - from the QWERTY keyboard and Halley's Comet to Penguins of Madagascar - on a five-star scale.Complex and rich with detail, the Anthropocene's reviews have been praised as 'observations that double as exercises in memoiristic empathy', with over 10 million lifetime downloads. John Green's gift for storytelling shines throughout this artfully curated collection about the shared human experience; it includes beloved essays along with six all-new pieces exclusive to the book.",nonfiction
The Comfort Book,Matt Haig,4.08,"['Nonfiction', 'Self', 'Help', 'Mental', 'Health', 'Psychology', 'Audiobook', 'Philosophy', 'Memoir']",272,"The new uplifting book from Matt Haig, the New York Times bestselling author of The Midnight Library, for anyone in search of hope, looking for a path to a more meaningful life, or in need of a little encouragement.“It is a strange paradox, that many of the clearest, most comforting life lessons are learnt while we are at our lowest. But then we never think about food more than when we are hungry and we never think about life rafts more than when we are thrown overboard.”The Comfort Book is Haig’s life raft: it’s a collection of notes, lists, and stories written over a span of several years that originally served as gentle reminders to Haig’s future self that things are not always as dark as they may seem. Incorporating a diverse array of sources from across the world, history, science, and his own experiences, Haig offers warmth and reassurance, reminding us to slow down and appreciate the beauty and unpredictability of existence.",nonfiction
The Book of Hope: A Survival Guide for Trying Times,Jane Goodall,4.2,"['Nonfiction', 'Science', 'Nature', 'Memoir', 'Environment', 'Self', 'Help', 'Audiobook']",272,"In a world that seems so troubled, how do we hold on to hope?Looking at the headlines--a global pandemic, the worsening climate crisis, political upheaval--it can be hard to feel optimistic. And yet hope has never been more desperately needed.In this urgent book, Jane Goodall, the world's most famous living naturalist and Doug Abrams, internationally-bestselling author, explore--through intimate and thought-provoking dialogue--one of the most sought after and least understood elements of human nature: hope. In The Book of Hope, Jane focuses on her “Four Reasons for Hope”: The Amazing Human Intellect, The Resilience of Nature, The Power of Young People, and The Indomitable Human Spirit.Told through stories from a remarkable career and fascinating research, The Book of Hope touches on vital questions including: How do we stay hopeful when everything seems hopeless? How do we cultivate hope in our children? Filled with engaging dialogue and pictures from Jane’s storied career, The Book of Hope is a deeply personal conversation with one of the most beloved figures in today’s world.And for the first time, Jane tells the story of how she became a messenger of hope: from living through World War II, to her years in Gombe, to realizing she had to leave the forest to travel the world in her role as an advocate for environmental justice. She details the forces that shaped her hopeful worldview, her thoughts on her past, and her revelations about her next--and perhaps final--adventure.There is still hope, and this book will help guide us to it.",nonfiction
Cultish: The Language of Fanaticism,Amanda Montell,3.9,"['Nonfiction', 'Audiobook', 'Psychology', 'History', 'Sociology', 'Cults', 'Religion']",309,"The author of the widely praised Wordslut analyzes the social science of cult influence: how cultish groups from Jonestown and Scientology to SoulCycle and social media gurus use language as the ultimate form of power.What makes “cults” so intriguing and frightening? What makes them powerful? The reason why so many of us binge Manson documentaries by the dozen and fall down rabbit holes researching suburban moms gone QAnon is because we’re looking for a satisfying explanation for what causes people to join—and more importantly, stay in—extreme groups. We secretly want to know: could it happen to me? Amanda Montell’s argument is that, on some level, it already has . . .Our culture tends to provide pretty flimsy answers to questions of cult influence, mostly having to do with vague talk of “brainwashing.” But the true answer has nothing to do with freaky mind-control wizardry or Kool-Aid. In Cultish, Montell argues that the key to manufacturing intense ideology, community, and us/them attitudes all comes down to language. In both positive ways and shadowy ones, cultish language is something we hear—and are influenced by—every single day.Through juicy storytelling and cutting original research, Montell exposes the verbal elements that make a wide spectrum of communities “cultish,” revealing how they affect followers of groups as notorious as Heaven’s Gate, but also how they pervade our modern start-ups, Peloton leaderboards, and Instagram feeds. Incisive and darkly funny, this enrapturing take on the curious social science of power and belief will make you hear the fanatical language of “cultish” everywhere.",nonfiction
"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Bruce D. Perry,4.45,"['Nonfiction', 'Psychology', 'Self', 'Help', 'Audiobook', 'Mental', 'Health', 'Personal', 'Development', 'Health']",304,"Our earliest experiences shape our lives far down the road, and What Happened to You? provides powerful scientific and emotional insights into the behavioral patterns so many of us struggle to understand.“Through this lens we can build a renewed sense of personal self-worth and ultimately recalibrate our responses to circumstances, situations, and relationships. It is, in other words, the key to reshaping our very lives.”—Oprah WinfreyThis book is going to change the way you see your life.Have you ever wondered ""Why did I do that?"" or ""Why can't I just control my behavior?"" Others may judge our reactions and think, ""What's wrong with that person?"" When questioning our emotions, it's easy to place the blame on ourselves; holding ourselves and those around us to an impossible standard. It's time we started asking a different question.Through deeply personal conversations, Oprah Winfrey and renowned brain and trauma expert Dr. Bruce Perry offer a groundbreaking and profound shift from asking “What’s wrong with you?” to “What happened to you?”Here, Winfrey shares stories from her own past, understanding through experience the vulnerability that comes from facing trauma and adversity at a young age. In conversation throughout the book, she and Dr. Perry focus on understanding people, behavior, and ourselves. It’s a subtle but profound shift in our approach to trauma, and it’s one that allows us to understand our pasts in order to clear a path to our future—opening the door to resilience and healing in a proven, powerful way.",nonfiction
Mediocre: The Dangerous Legacy of White Male America,Ijeoma Oluo,4.42,"['Nonfiction', 'Feminism', 'Politics', 'Race', 'History', 'Audiobook', 'Social', 'Justice']",278,"From the author of the New York Times bestseller So You Want to Talk About Race, a history of white male America and a scathing indictment of what it has cost us socially, economically, and politicallyAfter the election of Donald Trump, and the escalation of white male rage and increased hostility toward immigrants that came with him, New York Times-bestselling author Ijeoma Oluo found herself in conversation with Americans around the country, pondering one central question: How did we get here?In this ambitious survey of the last century of American history, Oluo answers that question by pinpointing white men's deliberate efforts to subvert women, people of color, and the disenfranchised. Through research, interviews, and the powerful, personal writing for which she is celebrated, Oluo investigates the backstory of America's growth, from immigrant migration to our national ethos around ingenuity, from the shaping of economic policy to the protection of sociopolitical movements that fortify male power. In the end, she shows how white men have long maintained a stranglehold on leadership and sorely undermined the pursuit of happiness for all.",nonfiction
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,4.23,"['Nonfiction', 'Psychology', 'Self', 'Help', 'Business', 'Personal', 'Development', 'Audiobook', 'Leadership']",307,"Think Again is a book about the benefit of doubt, and about how we can get better at embracing the unknown and the joy of being wrong. Evidence has shown that creative geniuses are not attached to one identity, but constantly willing to rethink their stances and that leaders who admit they don't know something and seek critical feedback lead more productive and innovative teams.New evidence shows us that as a mindset and a skilllset, rethinking can be taught and Grant explains how to develop the necessary qualities to do it. Section 1 explores why we struggle to think again and how we can learn to do it as individuals, arguing that 'grit' alone can actually be counterproductive. Section 2 discusses how we can help others think again through learning about 'argument literacy'. And the final section 3 looks at how schools, businesses and governments fall short in building cultures that encourage rethinking.In the end, learning to rethink may be the secret skill to give you the edge in a world changing faster than ever.",nonfiction
Fuzz: When Nature Breaks the Law,Mary Roach,3.85,"['Nonfiction', 'Science', 'Nature', 'Animals', 'Humor', 'History', 'Audiobook']",308,"What’s to be done about a jaywalking moose? A bear caught breaking and entering? A murderous tree? Three hundred years ago, animals that broke the law would be assigned legal representation and put on trial. The answers are best found not in jurisprudence but in science: the curious science of human-wildlife conflict, a discipline at the crossroads of human behavior and wildlife biology.Roach tags along with animal-attack forensics investigators, human-elephant conflict specialists, bear managers, and ""danger tree"" faller blasters. Intrepid as ever, she travels from leopard-terrorized hamlets in the Indian Himalaya to St. Peter’s Square in the early hours before the pope arrives for Easter Mass, when vandal gulls swoop in to destroy the elaborate floral display. She taste-tests rat bait, learns how to install a vulture effigy, and gets mugged by a macaque.Combining little-known forensic science and conservation genetics with a motley cast of laser scarecrows, langur impersonators, and trespassing squirrels, Roach reveals as much about humanity as about nature’s lawbreakers. When it comes to ""problem"" wildlife, she finds, humans are more often the problem—and the solution. Fascinating, witty, and humane, Fuzz offers hope for compassionate coexistence in our ever-expanding human habitat.",nonfiction
"Last Call: A True Story of Love, Lust, and Murder in Queer New York",Elon Green,3.84,"['True', 'Crime', 'Nonfiction', 'History', 'Crime', 'Queer', 'Audiobook', 'LGBT']",258,"The gripping true story, told here for the first time, of the Last Call Killer and the gay community of New York City that he preyed upon.The Townhouse Bar, midtown, July 1992: The piano player seems to know every song ever written, the crowd belts out the lyrics to their favorites, and a man standing nearby is drinking a Scotch and water. The man strikes the piano player as forgettable.He looks bland and inconspicuous. Not at all what you think a serial killer looks like. But that’s what he is, and tonight, he has his sights set on a gray haired man. He will not be his first victim.Nor will he be his last.The Last Call Killer preyed upon gay men in New York in the ‘80s and ‘90s and had all the hallmarks of the most notorious serial killers. Yet because of the sexuality of his victims, the skyhigh murder rates, and the AIDS epidemic, his murders have been almost entirely forgotten.This gripping true-crime narrative tells the story of the Last Call Killer and the decades-long chase to find him. And at the same time, it paints a portrait of his victims and a vibrant community navigating threat and resilience.",nonfiction
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,4.14,"['Nonfiction', 'Science', 'Climate', 'Change', 'Environment', 'Politics', 'Audiobook', 'Sustainability']",272,"In this urgent, authoritative book, Bill Gates sets out a wide-ranging, practical - and accessible - plan for how the world can get to zero greenhouse gas emissions in time to avoid a climate catastrophe.Bill Gates has spent a decade investigating the causes and effects of climate change. With the help of experts in the fields of physics, chemistry, biology, engineering, political science, and finance, he has focused on what must be done in order to stop the planet's slide toward certain environmental disaster. In this book, he not only explains why we need to work toward net-zero emissions of greenhouse gases, but also details what we need to do to achieve this profoundly important goal.He gives us a clear-eyed description of the challenges we face. Drawing on his understanding of innovation and what it takes to get new ideas into the market, he describes the areas in which technology is already helping to reduce emissions, where and how the current technology can be made to function more effectively, where breakthrough technologies are needed, and who is working on these essential innovations. Finally, he lays out a concrete, practical plan for achieving the goal of zero emissions-suggesting not only policies that governments should adopt, but what we as individuals can do to keep our government, our employers, and ourselves accountable in this crucial enterprise.As Bill Gates makes clear, achieving zero emissions will not be simple or easy to do, but if we follow the plan he sets out here, it is a goal firmly within our reach.",nonfiction
This Is Your Mind on Plants,Michael Pollan,3.86,"['Nonfiction', 'Science', 'Audiobook', 'Psychology', 'Nature', 'Health', 'History']",288,"In This Is Your Mind on Plants, Michael Pollan dives deep into three plant drugs--opium, caffeine, and mescaline--and throws the fundamental strangeness, and arbitrariness, of our thinking about them into sharp relief. Exploring and participating in the cultures that have grown up around these drugs while consuming (or, in the case of caffeine, trying not to consume) them, Pollan reckons with the powerful human attraction to psychoactive plants. Why do we go to such great lengths to seek these shifts in consciousness, and then why do we fence that universal desire with laws and customs and fraught feelings?",nonfiction
Remember: The Science of Memory and the Art of Forgetting,Lisa Genova,4.19,"['Nonfiction', 'Science', 'Psychology', 'Self', 'Help', 'Health', 'Audiobook', 'Neuroscience']",256,"A fascinating exploration of the intricacies of how we remember, why we forget, and what we can do to protect our memories, from the Harvard-trained neuroscientist and bestselling author of Still Alice.Have you ever felt a crushing wave of panic when you can't for the life of you remember the name of that actor in the movie you saw last week, or you walk into a room only to forget why you went there in the first place? If you're over forty, you're probably not laughing. You might even be worried that these lapses in memory could be an early sign of Alzheimer's or dementia. In reality, for the vast majority of us, these examples of forgetting are completely normal. Why? Because while memory is amazing, it is far from perfect. Our brains aren't designed to remember every name we hear, plan we make, or day we experience. Just because your memory sometimes fails doesn't mean it's broken or succumbing to disease. Forgetting is actually part of being human. In Remember, neuroscientist and acclaimed novelist Lisa Genova delves into how memories are made and how we retrieve them. You'll learn whether forgotten memories are temporarily inaccessible or erased forever and why some memories are built to exist for only a few seconds (like a passcode) while others can last a lifetime (your wedding day). You'll come to appreciate the clear distinction between normal forgetting (where you parked your car) and forgetting due to Alzheimer's (that you own a car). And you'll see how memory is profoundly impacted by meaning, emotion, sleep, stress, and context. Once you understand the language of memory and how it functions, its incredible strengths and maddening weaknesses, its natural vulnerabilities and potential superpowers, you can both vastly improve your ability to remember and feel less rattled when you inevitably forget. You can set educated expectations for your memory, and in doing so, create a better relationship with it. You don't have to fear it anymore. And that can be life-changing.",nonfiction
"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life",George Saunders,4.54,"['Nonfiction', 'Writing', 'Short', 'Stories', 'Essays', 'Russia', 'Books', 'About', 'Books', 'Literature']",410,"For the last twenty years, George Saunders has been teaching a class on the Russian short story to his MFA students at Syracuse University. In A Swim in a Pond in the Rain, he shares a version of that class with us, offering some of what he and his students have discovered together over the years. Paired with iconic short stories by Chekhov, Turgenev, Tolstoy, and Gogol, the seven essays in this book are intended for anyone interested in how fiction works and why it’s more relevant than ever in these turbulent times.In his introduction, Saunders writes, “We’re going to enter seven fastidiously constructed scale models of the world, made for a specific purpose that our time maybe doesn’t fully endorse but that these writers accepted implicitly as the aim of art—namely, to ask the big questions, questions like, How are we supposed to be living down here? What were we put here to accomplish? What should we value? What is truth, anyway, and how might we recognize it?” He approaches the stories technically yet accessibly, and through them explains how narrative functions; why we stay immersed in a story and why we resist it; and the bedrock virtues a writer must foster. The process of writing, Saunders reminds us, is a technical craft, but also a way of training oneself to see the world with new openness and curiosity.A Swim in a Pond in the Rain is a deep exploration not just of how great writing works but of how the mind itself works while reading, and of how the reading and writing of stories make genuine connection possible.",nonfiction
The Premonition: A Pandemic Story,Michael   Lewis,4.35,"['Nonfiction', 'Science', 'History', 'Politics', 'Health', 'Medicine', 'Medical']",304,"For those who could read between the lines, the censored news out of China was terrifying. But the president insisted there was nothing to worry about.Fortunately, we are still a nation of skeptics. Fortunately, there are those among us who study pandemics and are willing to look unflinchingly at worst-case scenarios. Michael Lewis’s taut and brilliant nonfiction thriller pits a band of medical visionaries against the wall of ignorance that was the official response of the Trump administration to the outbreak of COVID-19.The characters you will meet in these pages are as fascinating as they are unexpected. A thirteen-year-old girl’s science project on transmission of an airborne pathogen develops into a very grown-up model of disease control. A local public-health officer uses her worm’s-eye view to see what the CDC misses, and reveals great truths about American society. A secret team of dissenting doctors, nicknamed the Wolverines, has everything necessary to fight the pandemic: brilliant backgrounds, world-class labs, prior experience with the pandemic scares of bird flu and swine flu…everything, that is, except official permission to implement their work.Michael Lewis is not shy about calling these people heroes for their refusal to follow directives that they know to be based on misinformation and bad science. Even the internet, as crucial as it is to their exchange of ideas, poses a risk to them. They never know for sure who else might be listening in.",nonfiction
The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,Heather  McGhee,4.64,"['Nonfiction', 'Race', 'History', 'Politics', 'Social', 'Justice', 'Audiobook', 'Anti', 'Racist']",448,"Heather McGhee's specialty is the American economy--and the mystery of why it so often fails the American public. From the financial crisis to rising student debt to collapsing public infrastructure, she found a common root problem: racism. But not just in the most obvious indignities for people of color. Racism has costs for white people, too. It is the common denominator of our most vexing public problems, the core dysfunction of our democracy and constitutive of the spiritual and moral crises that grip us all. But how did this happen? And is there a way out?McGhee embarks on a deeply personal journey across the country from Maine to Mississippi to California, tallying what we lose when we buy into the zero-sum paradigm--the idea that progress for some of us must come at the expense of others. Along the way, she meets white people who confide in her about losing their homes, their dreams, and their shot at better jobs to the toxic mix of American racism and greed. This is the story of how public goods in this country--from parks and pools to functioning schools--have become private luxuries; of how unions collapsed, wages stagnated, and inequality increased; and of how this country, unique among the world's advanced economies, has thwarted universal healthcare.But in unlikely places of worship and work, McGhee finds proof of what she calls the Solidarity Dividend: gains that come when people come together across race, to accomplish what we simply can't do on our own.McGhee marshals economic and sociological research to paint a story of racism's costs, but at the heart of the book are the humble stories of people yearning to be part of a better America, including white supremacy's collateral victims: white people themselves. With startling empathy, this heartfelt message from a Black woman to a multiracial America leaves us with a new vision for a future in which we finally realize that life can be more than a zero-sum game.",nonfiction
"The Disordered Cosmos: A Journey into Dark Matter, Spacetime, and Dreams Deferred",Chanda Prescod-Weinstein,4.12,"['Nonfiction', 'Science', 'Memoir', 'Feminism', 'Race', 'Physics', 'History']",320,"From a star theoretical physicist, a journey into the world of particle physics and the cosmos — and a call for a more just practice of science.In The Disordered Cosmos, Dr. Chanda Prescod-Weinstein shares her love for physics, from the Standard Model of Particle Physics and what lies beyond it, to the physics of melanin in skin, to the latest theories of dark matter — all with a new spin informed by history, politics, and the wisdom of Star Trek.One of the leading physicists of her generation, Dr. Chanda Prescod-Weinstein is also one of fewer than one hundred Black American women to earn a PhD from a department of physics. Her vision of the cosmos is vibrant, buoyantly non-traditional, and grounded in Black feminist traditions.Prescod-Weinstein urges us to recognize how science, like most fields, is rife with racism, sexism, and other dehumanizing systems. She lays out a bold new approach to science and society that begins with the belief that we all have a fundamental right to know and love the night sky. The Disordered Cosmos dreams into existence a world that allows everyone to tap into humanity’s wealth of knowledge about the wonders of the universe.",nonfiction
A Little Devil in America: Notes in Praise of Black Performance,Hanif Abdurraqib,4.61,"['Nonfiction', 'Essays', 'Music', 'History', 'Race', 'Memoir', 'Audiobook']",301,"A stirring meditation on Black performance in America from the New York Times bestselling author of Go Ahead in the RainAt the March on Washington in 1963, Josephine Baker was fifty-seven years old, well beyond her most prolific days. But in her speech she was in a mood to consider her life, her legacy, her departure from the country she was now triumphantly returning to. “I was a devil in other countries, and I was a little devil in America, too,” she told the crowd. Inspired by these few words, Hanif Abdurraqib has written a profound and lasting reflection on how Black performance is inextricably woven into the fabric of American culture. Each moment in every performance he examines—whether it’s the twenty-seven seconds in “Gimme Shelter” in which Merry Clayton wails the words “rape, murder,” a schoolyard fistfight, a dance marathon, or the instant in a game of spades right after the cards are dealt—has layers of resonance in Black and white cultures, the politics of American empire, and Abdurraqib’s own personal history of love, grief, and performance.Abdurraqib writes prose brimming with jubilation and pain, infused with the lyricism and rhythm of the musicians he loves. With care and generosity, he explains the poignancy of performances big and small, each one feeling intensely familiar and vital, both timeless and desperately urgent. Filled with sharp insight, humor, and heart, A Little Devil in America exalts the Black performance that unfolds in specific moments in time and space—from midcentury Paris to the moon, and back down again to a cramped living room in Columbus, Ohio.",nonfiction
"Chatter: The Voice in Our Head, Why It Matters, and How to Harness It",Ethan Kross,3.98,"['Nonfiction', 'Psychology', 'Self', 'Help', 'Science', 'Mental', 'Health', 'Audiobook', 'Personal', 'Development']",272,"AN AWARD-WINNING PSYCHOLOGIST REVEALS THE HIDDEN POWER OF OUR INNER VOICE AND SHOWS HOW WE CAN HARNESS IT TO LIVE A HEALTHIER, MORE SATISFYING, AND MORE PRODUCTIVE LIFE.Tell a stranger that you talk to yourself, and you're likely to get written off as eccentric. But the truth is that we all have a voice in our head. When we talk to ourselves, we often hope to tap into our inner coach but find our inner critic instead. When we're facing a tough task, our inner coach can buoy us up: Focus - you can do this. But, just as often, our inner critic sinks us entirely: I'm going to fail. They'll all laugh at me. What's the use?In 'CHATTER', acclaimed psychologist Ethan Kross explores the silent conversations we have with ourselves. Interweaving groundbreaking behavioral and brain research from his own lab with real-world case studies - from a pitcher who forgets how to pitch, to a Harvard undergrad negotiating her double life as a spy - Kross explains how these conversations shape our lives, work, and relationships. He warns that giving in to negative and disorienting self-talk - what he calls ""chatter"" - can tank our health, sink our moods, strain our social connections, and cause us to fold under pressure.But the good news is that we're already equipped with the tools we need to make our inner voice work in our favor. These tools are often hidden in plain sight - in the words we use to think about ourselves, the technologies we embrace, the diaries we keep in our drawers, the conversations we have with our loved ones, and the cultures we create in our schools and workplaces.Brilliantly argued, expertly researched, and filled with compelling stories, 'CHATTER' gives us the power to change the most important conversation we have each day: the one we have with ourselves.RUNNING TIME => 5hrs. and 45mins.©2021 Ethan Kross (P)2021 Random House Audio",nonfiction
Paradise: One Town's Struggle to Survive an American Wildfire,Lizzie Johnson,4.35,"['Nonfiction', 'History', 'Science', 'Environment', 'Nature', 'Audiobook', 'Climate', 'Change']",432,"The definitive firsthand account of California's Camp Fire--the nation's deadliest wildfire in a century--and a riveting examination of what went wrong and how to avert future tragedies as the climate crisis unfoldsOn November 8, 2018, the people of Paradise, California, awoke to a mottled gray sky and gusty winds. Soon the Camp Fire was upon them, gobbling an acre a second. Less than two hours after it ignited, residents were trapped in flames, cremated in their homes and cars. By the next morning, eighty-five people were dead.San Francisco Chronicle reporter Lizzie Johnson was there as the town of Paradise burned. She saw the smoldering rubble of a historic covered bridge and the beloved Black Bear Diner, and she stayed long afterward, visiting shelters, hotels, and makeshift camps. Drawing on years of on-the-ground reporting and reams of public records, including 911 calls and testimony from a grand jury investigation, Johnson provides a minute-by-minute account of the Camp Fire, following residents and first responders as they fight to save themselves and their town. We see a young mother fleeing with her newborn; a school bus full of children in search of an escape route; and a group of paramedics, patients, and nurses trapped in a cul-de-sac, fending off the fire with rakes and hoses.Johnson documents the unfolding tragedy with empathy and nuance. But she also investigates the root causes, from runaway climate change to a deeply flawed alert system to Pacific Gas and Electric's decades-long neglect of critical infrastructure. A cautionary tale for a new era of megafires, Paradise is the gripping story of a town wiped off the map and the determination of its people to rise again.",nonfiction
Under a White Sky: The Nature of the Future,Elizabeth Kolbert,4.1,"['Nonfiction', 'Science', 'Environment', 'Nature', 'Climate', 'Change', 'History', 'Audiobook']",234,"The Pulitzer Prize–winning author of The Sixth Extinction returns to humanity’s transformative impact on the environment, now asking: After doing so much damage, can we change nature, this time to save it?That man should have dominion “over all the earth, and over every creeping thing that creepeth upon the earth” is a prophecy that has hardened into fact. So pervasive are human impacts on the planet that it’s said we live in a new geological epoch: the Anthropocene. In Under a White Sky, Elizabeth Kolbert takes a hard look at the new world we are creating. She meets scientists who are trying to preserve the world’s rarest fish, which lives in a single, tiny pool in the middle of the Mojave. She visits a lava field in Iceland, where engineers are turning carbon emissions to stone; an aquarium in Australia, where researchers are trying to develop “super coral” that can survive on a hotter globe; and a lab at Harvard, where physicists are contemplating shooting tiny diamonds into the stratosphere in order to reflect sunlight back to space and cool the earth. One way to look at human civilization, says Kolbert, is as a ten-thousand-year exercise in defying nature. In The Sixth Extinction, she explored the ways in which our capacity for destruction has reshaped the natural world. Now she examines how the very sorts of interventions that have imperiled our planet are increasingly seen as the only hope for its salvation. By turns inspiring, terrifying, and darkly comic, Under a White Sky is an utterly original examination of the challenges we face.",nonfiction
